"id","tourn_id","date","teamA","scoreA","scoreB","teamB","et","sc","w","l","d","dA","dB"
"finals","wc_1954","  1954-07-04","Germany",3,2,"Hungary",0,NA,"Germany","Hungary",FALSE,NA,NA
"finals","wc_1958","1958-06-08  ","Northern Ireland",1,0,"Czech Republic/CSFR",0,NA,"Northern Ireland","Czech Republic/CSFR",FALSE,NA,NA
"finals","wc_1958","1958-06-08  ","Germany",3,1,"Argentina",0,NA,"Germany","Argentina",FALSE,NA,NA
"finals","wc_1958","1958-06-11  ","Argentina",3,1,"Northern Ireland",0,NA,"Argentina","Northern Ireland",FALSE,NA,NA
"finals","wc_1958","1958-06-11  ","Germany",2,2,"Czech Republic/CSFR",0,NA,"Draw","Draw",TRUE,"Germany","Czech Republic/CSFR"
"finals","wc_1958","1958-06-15  ","Czech Republic/CSFR",6,1,"Argentina",0,NA,"Czech Republic/CSFR","Argentina",FALSE,NA,NA
"finals","wc_1958","1958-06-15  ","Germany",2,2,"Northern Ireland",0,NA,"Draw","Draw",TRUE,"Germany","Northern Ireland"
"finals","wc_1958","1958-06-17  ","Northern Ireland",2,1,"Czech Republic/CSFR",1,NA,"Northern Ireland","Czech Republic/CSFR",FALSE,NA,NA
"finals","wc_1958","1958-06-08  ","Serbia/Yugoslavia",1,1,"Scotland",0,NA,"Draw","Draw",TRUE,"Serbia/Yugoslavia","Scotland"
"finals","wc_1958","1958-06-08  ","France",7,3,"Paraguay",0,NA,"France","Paraguay",FALSE,NA,NA
"finals","wc_1958","1958-06-11  ","Paraguay",3,2,"Scotland",0,NA,"Paraguay","Scotland",FALSE,NA,NA
"finals","wc_1958","1958-06-11  ","Serbia/Yugoslavia",3,2,"France",0,NA,"Serbia/Yugoslavia","France",FALSE,NA,NA
"finals","wc_1958","1958-06-15  ","France",2,1,"Scotland",0,NA,"France","Scotland",FALSE,NA,NA
"finals","wc_1958","1958-06-15  ","Serbia/Yugoslavia",3,3,"Paraguay",0,NA,"Draw","Draw",TRUE,"Serbia/Yugoslavia","Paraguay"
"finals","wc_1958","1958-06-08  ","Sweden",3,0,"Mexico",0,NA,"Sweden","Mexico",FALSE,NA,NA
"finals","wc_1958","1958-06-08  ","Wales",1,1,"Hungary",0,NA,"Draw","Draw",TRUE,"Wales","Hungary"
"finals","wc_1958","1958-06-11  ","Wales",1,1,"Mexico",0,NA,"Draw","Draw",TRUE,"Wales","Mexico"
"finals","wc_1958","1958-06-12  ","Sweden",2,1,"Hungary",0,NA,"Sweden","Hungary",FALSE,NA,NA
"finals","wc_1958","1958-06-15  ","Sweden",0,0,"Wales",0,NA,"Draw","Draw",TRUE,"Sweden","Wales"
"finals","wc_1958","1958-06-15  ","Hungary",4,0,"Mexico",0,NA,"Hungary","Mexico",FALSE,NA,NA
"finals","wc_1958","1958-06-17  ","Wales",2,1,"Hungary",0,NA,"Wales","Hungary",FALSE,NA,NA
"finals","wc_1958","1958-06-08  ","Brazil",3,0,"Austria",0,NA,"Brazil","Austria",FALSE,NA,NA
"finals","wc_1958","1958-06-08  ","Russia/USSR",2,2,"England",0,NA,"Draw","Draw",TRUE,"Russia/USSR","England"
"finals","wc_1958","1958-06-11  ","Russia/USSR",2,0,"Austria",0,NA,"Russia/USSR","Austria",FALSE,NA,NA
"finals","wc_1958","1958-06-11  ","Brazil",0,0,"England",0,NA,"Draw","Draw",TRUE,"Brazil","England"
"finals","wc_1958","1958-06-15  ","England",2,2,"Austria",0,NA,"Draw","Draw",TRUE,"England","Austria"
"finals","wc_1958","1958-06-15  ","Brazil",2,0,"Russia/USSR",0,NA,"Brazil","Russia/USSR",FALSE,NA,NA
"finals","wc_1958","1958-06-17  ","Russia/USSR",1,0,"England",0,NA,"Russia/USSR","England",FALSE,NA,NA
"finals","wc_1958","1958-06-19  ","Sweden",2,0,"Russia/USSR",0,NA,"Sweden","Russia/USSR",FALSE,NA,NA
